0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
358.0,272.0,451.0,605.0,1.0,655.0,98.0,747.0,396.0,2.0,752.0,73.0,856.0,370.0,3.0
358.0,272.0,451.0,605.0,1.0,654.0,97.0,746.0,396.0,2.0,753.0,73.0,857.0,370.0,3.0
358.0,272.0,451.0,605.0,1.0,655.0,97.0,747.0,396.0,2.0,754.0,73.0,858.0,370.0,3.0
357.0,272.0,451.0,605.0,1.0,655.0,98.0,746.0,396.0,2.0,755.0,74.0,859.0,370.0,3.0
357.0,272.0,451.0,605.0,1.0,655.0,98.0,746.0,395.0,2.0,756.0,74.0,860.0,370.0,3.0
357.0,272.0,451.0,606.0,1.0,654.0,98.0,745.0,395.0,2.0,757.0,74.0,861.0,370.0,3.0
357.0,272.0,451.0,606.0,1.0,653.0,97.0,744.0,395.0,2.0,,,,,
357.0,272.0,451.0,606.0,1.0,654.0,97.0,745.0,395.0,2.0,,,,,
356.0,271.0,451.0,606.0,1.0,655.0,96.0,747.0,395.0,2.0,,,,,
356.0,271.0,450.0,606.0,1.0,655.0,96.0,747.0,396.0,2.0,,,,,
356.0,271.0,451.0,606.0,1.0,656.0,95.0,748.0,397.0,2.0,,,,,
356.0,270.0,450.0,606.0,1.0,657.0,94.0,749.0,397.0,2.0,,,,,
356.0,271.0,450.0,606.0,1.0,656.0,94.0,749.0,397.0,2.0,,,,,
356.0,271.0,450.0,606.0,1.0,656.0,94.0,749.0,397.0,2.0,,,,,
356.0,271.0,450.0,606.0,1.0,656.0,94.0,748.0,397.0,2.0,,,,,
356.0,272.0,450.0,606.0,1.0,656.0,94.0,748.0,397.0,2.0,,,,,
356.0,271.0,450.0,606.0,1.0,656.0,94.0,748.0,397.0,2.0,,,,,
356.0,271.0,450.0,606.0,1.0,656.0,94.0,749.0,396.0,2.0,,,,,
355.0,271.0,450.0,606.0,1.0,656.0,94.0,749.0,396.0,2.0,,,,,
356.0,273.0,450.0,604.0,1.0,657.0,96.0,749.0,396.0,2.0,,,,,
356.0,273.0,450.0,603.0,1.0,657.0,97.0,749.0,395.0,2.0,,,,,
356.0,274.0,450.0,603.0,1.0,656.0,97.0,749.0,396.0,2.0,,,,,
356.0,274.0,450.0,602.0,1.0,655.0,96.0,748.0,396.0,2.0,,,,,
356.0,274.0,450.0,602.0,1.0,655.0,94.0,749.0,396.0,2.0,,,,,
356.0,274.0,451.0,602.0,1.0,655.0,93.0,749.0,396.0,2.0,,,,,
356.0,273.0,451.0,602.0,1.0,,,,,,,,,,
356.0,273.0,450.0,601.0,1.0,,,,,,,,,,
355.0,273.0,450.0,602.0,1.0,,,,,,,,,,
355.0,273.0,450.0,602.0,1.0,,,,,,,,,,
356.0,273.0,451.0,602.0,1.0,,,,,,,,,,
356.0,274.0,451.0,603.0,1.0,,,,,,,,,,
356.0,275.0,451.0,603.0,1.0,,,,,,,,,,
357.0,276.0,452.0,603.0,1.0,656.0,93.0,750.0,396.0,2.0,,,,,
357.0,276.0,452.0,603.0,1.0,656.0,93.0,751.0,395.0,2.0,,,,,
