xmin,ymin,xmax,ymax,personID
,,,,
,,,,
358.0,272.0,451.0,605.0,1.0
358.0,272.0,451.0,605.0,1.0
358.0,272.0,451.0,605.0,1.0
357.0,272.0,451.0,605.0,1.0
357.0,272.0,451.0,605.0,1.0
357.0,272.0,451.0,606.0,1.0
357.0,272.0,451.0,606.0,1.0
357.0,272.0,451.0,606.0,1.0
356.0,271.0,451.0,606.0,1.0
356.0,271.0,450.0,606.0,1.0
356.0,271.0,451.0,606.0,1.0
356.0,270.0,450.0,606.0,1.0
356.0,271.0,450.0,606.0,1.0
356.0,271.0,450.0,606.0,1.0
356.0,271.0,450.0,606.0,1.0
356.0,272.0,450.0,606.0,1.0
356.0,271.0,450.0,606.0,1.0
356.0,271.0,450.0,606.0,1.0
355.0,271.0,450.0,606.0,1.0
356.0,273.0,450.0,604.0,1.0
356.0,273.0,450.0,603.0,1.0
356.0,274.0,450.0,603.0,1.0
356.0,274.0,450.0,602.0,1.0
356.0,274.0,450.0,602.0,1.0
356.0,274.0,451.0,602.0,1.0
356.0,273.0,451.0,602.0,1.0
356.0,273.0,450.0,601.0,1.0
355.0,273.0,450.0,602.0,1.0
355.0,273.0,450.0,602.0,1.0
356.0,273.0,451.0,602.0,1.0
356.0,274.0,451.0,603.0,1.0
356.0,275.0,451.0,603.0,1.0
357.0,276.0,452.0,603.0,1.0
357.0,276.0,452.0,603.0,1.0
357.0,277.0,452.0,604.0,1.0
354.0,273.0,451.0,606.0,1.0
355.0,274.0,451.0,604.0,1.0
356.0,275.0,451.0,603.0,1.0
356.0,275.0,452.0,606.0,1.0
356.0,276.0,452.0,606.0,1.0
356.0,276.0,452.0,607.0,1.0
354.0,272.0,450.0,606.0,1.0
353.0,270.0,450.0,606.0,1.0
352.0,270.0,450.0,607.0,1.0
352.0,269.0,449.0,607.0,1.0
352.0,269.0,449.0,607.0,1.0
353.0,270.0,449.0,607.0,1.0
353.0,270.0,449.0,607.0,1.0
353.0,270.0,449.0,607.0,1.0
352.0,269.0,449.0,607.0,1.0
352.0,269.0,449.0,607.0,1.0
352.0,270.0,449.0,607.0,1.0
352.0,270.0,448.0,607.0,1.0
352.0,270.0,448.0,607.0,1.0
352.0,270.0,448.0,607.0,1.0
352.0,270.0,448.0,607.0,1.0
352.0,270.0,448.0,607.0,1.0
352.0,270.0,448.0,608.0,1.0
352.0,271.0,448.0,607.0,1.0
354.0,274.0,449.0,608.0,1.0
355.0,274.0,450.0,608.0,1.0
355.0,275.0,450.0,608.0,1.0
355.0,275.0,450.0,608.0,1.0
355.0,275.0,450.0,608.0,1.0
355.0,275.0,449.0,608.0,1.0
355.0,276.0,450.0,608.0,1.0
354.0,276.0,450.0,608.0,1.0
355.0,276.0,450.0,608.0,1.0
354.0,276.0,449.0,608.0,1.0
354.0,276.0,449.0,608.0,1.0
354.0,276.0,449.0,607.0,1.0
354.0,276.0,449.0,607.0,1.0
353.0,276.0,449.0,607.0,1.0
353.0,276.0,449.0,607.0,1.0
353.0,276.0,449.0,607.0,1.0
354.0,276.0,449.0,608.0,1.0
353.0,276.0,449.0,608.0,1.0
353.0,276.0,449.0,608.0,1.0
353.0,276.0,449.0,608.0,1.0
